"mes","anio","depto","producto","sale_kg","ingresa_kg","total_importado","fecha"
1,2023,"ANTIOQUIA","Papa criolla",1.153713,1.3152,-0.161487,2023-01-01
1,2023,"ANTIOQUIA","Papa nevada",0.56063,0.48703,0.0736,2023-01-01
1,2023,"ANTIOQUIA","Papa superior",0.0019,0,0.0019,2023-01-01
1,2023,"ANTIOQUIA","Papa única",0.0078,0.01,-0.0022,2023-01-01
1,2023,"ANTIOQUIA","Papas negras otras",0.2759,0,0.2759,2023-01-01
1,2023,"ANTIOQUIA","Plátano guineo",0.257208,0.638958,-0.38175,2023-01-01
1,2023,"ANTIOQUIA","Plátano hartón verde",2.68549,3.68453,-0.99904,2023-01-01
1,2023,"ANTIOQUIA","Plátanos otros",0.12563,0.33232,-0.20669,2023-01-01
1,2023,"ANTIOQUIA","Repollo",1.20484,1.21136,-0.00652000000000008,2023-01-01
1,2023,"ANTIOQUIA","Tomate chonto",2.71176,2.53748,0.17428,2023-01-01
1,2023,"ANTIOQUIA","Tomates otros",0.006979,0.056879,-0.0499,2023-01-01
1,2023,"ANTIOQUIA","Yuca",1.311865,1.473522,-0.161657,2023-01-01
1,2023,"ANTIOQUIA","Zanahoria",2.143015,1.88704,0.255975,2023-01-01
2,2013,"ANTIOQUIA","Arroz",0.03516,3.26751,-3.23235,2013-02-01
2,2013,"ANTIOQUIA","Carne de cerdo",0.410823,0.410823,0,2013-02-01
2,2013,"ANTIOQUIA","Carne de res",0.3575,0.3575,0,2013-02-01
2,2013,"ANTIOQUIA","Cebolla Cabezona",0.0129,1.84835,-1.83545,2013-02-01
2,2013,"ANTIOQUIA","Cebolla junca",0.290826,0.520936,-0.23011,2013-02-01
2,2013,"ANTIOQUIA","Fríjol",0.07808,0.29633,-0.21825,2013-02-01
2,2013,"ANTIOQUIA","Fríjol verde",0.444849,0.509699,-0.06485,2013-02-01
2,2013,"ANTIOQUIA","Huevo",0.20111694,0.34571694,-0.1446,2013-02-01
2,2013,"ANTIOQUIA","Lechuga Batavia",0.323898,1.157478,-0.83358,2013-02-01
2,2013,"ANTIOQUIA","Limones otros",0.073835,0.393665,-0.31983,2013-02-01
